577,Amy,3.0,excuse,1
578,Amy,3.0,amy,1
579,Amy,3.0,farrah,1
580,Amy,3.0,fowler,1
581,Amy,3.0,sheldon,1
582,Amy,3.0,cooper,1
583,Amy,3.0,slang,1
584,Amy,3.0,unfamiliar,1
585,Amy,3.0,literal,1
586,Amy,3.0,share,2
587,Amy,3.0,aversion,1
588,Amy,3.0,soiled,1
589,Amy,3.0,hosiery,1
590,Amy,3.0,case,1
591,Amy,3.0,mother,1
592,Amy,4.0,sheldon,21
593,Amy,4.0,penny,17
594,Amy,4.0,bernadette,16
595,Amy,4.0,leonard,14
596,Amy,4.0,know,14
597,Amy,4.0,good,13
598,Amy,4.0,one,12
599,Amy,4.0,right,12
600,Amy,4.0,yes,12
601,Amy,4.0,night,12
602,Amy,4.0,brain,10
603,Amy,4.0,think,10
604,Amy,4.0,time,8
605,Amy,4.0,girl,8
606,Amy,4.0,people,8
607,Amy,5.0,sheldon,32
608,Amy,5.0,know,20
609,Amy,5.0,right,20
610,Amy,5.0,one,19
611,Amy,5.0,think,19
612,Amy,5.0,go,18
613,Amy,5.0,night,17
614,Amy,5.0,leonard,16
615,Amy,5.0,little,15
616,Amy,5.0,penny,15
617,Amy,5.0,let,14
618,Amy,5.0,good,14
619,Amy,5.0,want,14
620,Amy,5.0,come,13
621,Amy,5.0,put,13
622,Amy,6.0,sheldon,65
623,Amy,6.0,know,27
624,Amy,6.0,go,25
625,Amy,6.0,right,18
626,Amy,6.0,one,18
627,Amy,6.0,want,16
628,Amy,6.0,yes,14
629,Amy,6.0,let,14
630,Amy,6.0,think,14
631,Amy,6.0,leonard,13
632,Amy,6.0,take,11
633,Amy,6.0,something,11
634,Amy,6.0,feel,11
635,Amy,6.0,time,11
636,Amy,6.0,little,11
637,Amy,7.0,sheldon,67
638,Amy,7.0,know,24
639,Amy,7.0,want,22
640,Amy,7.0,think,22
641,Amy,7.0,one,19
642,Amy,7.0,go,18
643,Amy,7.0,really,18
644,Amy,7.0,good,16
645,Amy,7.0,penny,15
646,Amy,7.0,right,14
647,Amy,7.0,us,13
648,Amy,7.0,see,14
649,Amy,7.0,sorry,13
650,Amy,7.0,time,13
651,Amy,7.0,never,13
652,Amy,8.0,sheldon,42
653,Amy,8.0,know,26
654,Amy,8.0,one,20
655,Amy,8.0,think,18
656,Amy,8.0,say,17
657,Amy,8.0,two,15
658,Amy,8.0,go,15
659,Amy,8.0,really,15
660,Amy,8.0,good,14
661,Amy,8.0,right,14
662,Amy,8.0,time,14
663,Amy,8.0,see,14
664,Amy,8.0,let,13
665,Amy,8.0,take,13
666,Amy,8.0,penny,12
667,Amy,9.0,know,69
668,Amy,9.0,sheldon,51
669,Amy,9.0,really,24
670,Amy,9.0,think,23
671,Amy,9.0,go,22
672,Amy,9.0,one,21
673,Amy,9.0,thank,17
674,Amy,9.0,want,16
675,Amy,9.0,feel,16
676,Amy,9.0,say,15
677,Amy,9.0,hi,16
678,Amy,9.0,right,14
679,Amy,9.0,sure,14
680,Amy,9.0,maybe,13
681,Amy,9.0,mean,13
682,Amy,10.0,sheldon,69
683,Amy,10.0,know,57
684,Amy,10.0,want,27
685,Amy,10.0,really,25
686,Amy,10.0,right,24
687,Amy,10.0,one,24
688,Amy,10.0,think,21
689,Amy,10.0,good,21
690,Amy,10.0,sorry,20
691,Amy,10.0,go,19
692,Amy,10.0,mean,18
693,Amy,10.0,let,17
694,Amy,10.0,maybe,17
695,Amy,10.0,see,17
696,Amy,10.0,say,15